customer_id,recency,frequency,monetary,cluster
1000,87,5,2591.29,2
1001,74,4,1824.51,1
1002,23,3,1988.78,1
1003,54,9,3565.34,0
1004,68,7,4345.34,0
1005,0,7,2234.99,3
1006,59,2,746.97,1
1007,8,4,2800.33,3
1009,48,5,2896.5299999999997,3
1010,129,4,2258.33,2
1011,52,5,2600.35,3
1012,87,3,1284.57,2
1013,13,5,2622.25,3
1014,56,6,2524.29,3
1015,83,6,2338.43,2
1016,21,4,1735.0700000000002,1
1017,99,6,3914.3900000000003,3
1018,7,6,2552.15,3
1019,35,4,1827.99,1
1020,34,10,5395.29,0
1021,29,6,2433.5299999999997,3
1022,4,6,4248.65,3
1023,60,2,859.16,1
1024,63,3,2037.6799999999998,1
1025,261,1,797.92,2
1026,19,7,3425.74,3
1027,17,5,3381.0899999999997,3
1028,6,5,2279.44,3
1029,1,7,3844.67,3
1030,7,6,3852.3,3
1031,54,3,1793.76,1
1032,40,3,921.9899999999999,1
1033,6,7,3622.29,3
1034,31,3,1457.5100000000002,1
1035,53,4,1550.68,1
1036,4,11,5096.58,0
1037,20,3,1517.9099999999999,1
1038,61,6,2457.42,3
1039,39,6,3656.58,3
1040,32,8,3548.17,0
1041,47,4,3299.11,3
1042,31,3,1148.7,1
1043,30,5,1600.99,1
1044,33,4,2509.59,1
1045,57,3,2162.63,1
1046,56,5,1933.08,1
1047,6,4,1856.29,1
1048,66,3,1728.51,1
1049,0,5,3315.12,3
1050,54,6,2490.87,3
1051,14,4,2291.42,1
1052,67,2,1211.23,1
1053,119,5,2209.01,2
1054,27,6,3361.48,3
1055,14,3,885.13,1
1056,10,3,1691.05,1
1057,148,2,860.4000000000001,2
1058,48,5,2127.11,1
1059,22,11,5962.87,0
1060,0,3,1335.3700000000001,1
1061,14,8,4266.52,0
1062,81,4,2260.39,2
1063,35,7,4247.37,0
1064,94,4,1764.21,2
1065,15,8,4791.15,0
1066,29,7,3577.41,3
1067,57,3,998.66,1
1068,23,4,850.99,1
1069,156,3,2317.1,2
1070,21,6,3572.35,3
1071,28,4,2887.27,3
1072,38,7,3050.12,3
1073,77,5,2424.94,2
1074,115,7,2309.38,2
1075,105,4,1596.3400000000001,2
1076,42,4,3491.59,3
1077,72,3,1464.16,1
1078,9,6,3924.67,3
1079,12,6,3117.84,3
1080,0,5,2472.75,3
1081,3,6,2938.3900000000003,3
1082,12,8,4630.66,0
1083,1,4,1398.35,1
1084,152,3,726.4000000000001,2
1085,16,6,2615.77,3
1086,30,5,2133.16,1
1087,8,5,3848.05,3
1088,61,6,1682.31,1
1089,6,4,2336.55,1
1090,99,2,978.95,2
1091,10,3,1382.0700000000002,1
1092,9,9,5083.17,0
1093,27,3,1786.1,1
1094,17,6,3258.14,3
1095,47,4,2018.86,1
1096,33,6,3772.54,3
1097,28,9,5269.81,0
1098,20,4,2434.86,1
1099,27,5,3128.04,3
1100,86,4,1197.1799999999998,2
